ID0001,Item1,841,2025-12-02
ID0002,Item2,863,2026-02-15
ID0003,Item3,427,2025-08-01
ID0004,Item4,113,2025-04-20
ID0005,Item5,194,2025-11-09
ID0006,Item6,433,2025-06-04
ID0007,Item7,727,2025-11-23
ID0008,Item8,98,2025-06-10
ID0009,Item9,636,2025-08-25
ID0010,Item10,157,2025-04-08
ID0011,Item11,832,2026-02-12
ID0012,Item12,644,2025-04-21
ID0013,Item13,575,2025-07-18
ID0014,Item14,834,2025-05-08
ID0015,Item15,369,2025-11-14
ID0016,Item16,437,2025-06-14
ID0017,Item17,710,2025-10-07
ID0018,Item18,343,2025-09-20
ID0019,Item19,15,2025-09-10
ID0020,Item20,139,2026-02-13
ID0021,Item21,299,2025-07-11
ID0022,Item22,833,2025-09-24
ID0023,Item23,165,2025-12-23
ID0024,Item24,410,2026-01-30
ID0025,Item25,938,2025-07-16
ID0026,Item26,543,2025-09-26
ID0027,Item27,852,2025-04-24
ID0028,Item28,909,2025-06-21
ID0029,Item29,325,2025-02-28
ID0030,Item30,917,2025-03-30
ID0031,Item31,782,2025-06-19
ID0032,Item32,371,2026-01-27
ID0033,Item33,279,2025-05-28
ID0034,Item34,442,2025-04-12
ID0035,Item35,870,2025-12-05
ID0036,Item36,401,2026-01-09
ID0037,Item37,406,2025-08-05
ID0038,Item38,191,2026-02-20
ID0039,Item39,721,2026-01-11
ID0040,Item40,624,2025-04-21
ID0041,Item41,193,2025-09-14
ID0042,Item42,563,2025-11-15
ID0043,Item43,965,2025-04-25
ID0044,Item44,430,2025-06-25
ID0045,Item45,627,2025-12-19
ID0046,Item46,581,2025-06-16
ID0047,Item47,971,2025-09-25
ID0048,Item48,982,2025-10-03
ID0049,Item49,960,2025-03-14
ID0050,Item50,660,2026-01-06
